,Life expectancy,Adult Mortality,Alcohol,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness 1-19 years,Schooling,Status_Encoded
22,76.1,91.0,5.79,98.0,0,53.5,1,98.0,5.79,98.0,0.1,4114.136545,2927519.0,1.5,12.2,0
21,76.2,91.0,5.28,99.0,10,54.3,1,99.0,5.34,99.0,0.1,494.358832,291321.0,1.4,12.5,0
20,76.6,88.0,5.37,99.0,28,55.1,1,99.0,5.71,99.0,0.1,4437.17868,295195.0,1.4,13.3,0
19,76.9,86.0,5.14,99.0,9,55.8,1,99.0,5.59,99.0,0.1,4247.61438,2941.0,1.3,14.2,0
18,77.2,84.0,4.76,99.0,0,56.5,1,99.0,5.66,99.0,0.1,4414.72314,289592.0,1.3,14.2,0
17,77.5,8.0,4.51,98.0,0,57.2,1,98.0,5.88,98.0,0.1,4575.763787,288914.0,1.2,14.2,0
16,77.8,74.0,4.6,99.0,0,58.0,0,99.0,6.0,99.0,0.1,3954.22783,28873.0,1.2,14.2,0
47,71.3,145.0,0.25,91.0,0,44.4,25,86.0,3.49,86.0,0.1,1757.17797,3118366.0,6.5,10.7,0
46,71.4,145.0,0.23,91.0,2686,45.3,24,89.0,3.84,89.0,0.1,1732.857979,31592153.0,6.4,10.9,0
45,71.6,145.0,0.36,91.0,5862,46.1,23,86.0,3.73,86.0,0.1,1774.33673,3199546.0,6.3,11.1,0
44,71.7,146.0,0.34,91.0,10000,47.0,23,87.0,3.6,87.0,0.1,294.33556,3243514.0,6.3,11.5,0
43,72.3,14.0,0.45,81.0,3289,47.9,23,86.0,3.54,86.0,0.1,2598.9823,3283196.0,6.2,11.7,0
42,72.9,136.0,0.5,83.0,2302,48.9,22,88.0,3.24,88.0,0.1,31.122378,33288437.0,6.1,12.0,0
41,73.4,132.0,0.36,9.0,944,49.8,23,95.0,3.36,95.0,0.1,3464.6179,33777915.0,6.1,12.3,0
40,73.8,129.0,0.44,9.0,0,5.8,23,95.0,3.82,95.0,0.1,3935.183343,34376.0,6.0,12.3,0
39,74.1,126.0,0.46,91.0,217,51.8,23,92.0,4.2,93.0,0.1,495.254866,3486715.0,6.0,12.6,0
38,74.4,123.0,0.5,94.0,107,52.8,23,94.0,5.36,95.0,0.1,3868.83123,3546576.0,6.0,13.1,0
37,74.7,119.0,0.45,95.0,103,53.9,24,95.0,5.12,95.0,0.1,4463.394675,36117637.0,5.9,13.6,0
36,74.9,116.0,0.56,95.0,112,55.0,24,95.0,5.29,95.0,0.1,5432.2523,36819558.0,5.9,14.0,0
35,75.1,113.0,0.66,95.0,18,56.1,24,95.0,6.14,95.0,0.1,5564.82566,37565847.0,5.9,14.4,0
34,75.3,112.0,0.53,95.0,25,57.2,24,95.0,7.12,95.0,0.1,5471.866766,38338562.0,5.9,14.4,0
33,75.4,11.0,0.01,95.0,0,58.4,24,95.0,7.21,95.0,0.1,547.8517,39113313.0,6.0,14.4,0
32,75.6,19.0,0.01,95.0,63,59.5,24,95.0,7.21,95.0,0.1,4132.76292,39871528.0,6.0,14.4,0
63,45.3,48.0,1.85,91.0,2219,15.4,160,9.0,2.79,28.0,2.0,555.2969419,1644924.0,1.9,4.6,0
62,45.7,44.0,2.58,91.0,9046,15.8,159,41.0,5.38,38.0,2.1,526.168743,16983266.0,1.7,5.1,0
61,46.5,391.0,2.82,91.0,10000,16.3,157,37.0,3.63,41.0,2.3,711.181716,17572649.0,1.5,5.5,0
60,46.8,388.0,3.49,91.0,1196,16.8,155,9.0,4.41,9.0,2.4,779.468356,1823369.0,1.4,5.9,0
59,47.1,386.0,3.53,91.0,29,17.2,152,9.0,4.71,9.0,2.5,141.86844,18865716.0,1.2,6.4,0
58,47.4,382.0,5.04,91.0,258,17.7,148,39.0,4.1,38.0,2.6,1443.991929,19552542.0,1.0,6.8,0
57,47.7,381.0,5.84,91.0,765,18.2,143,36.0,4.54,34.0,2.5,262.415149,2262399.0,9.8,7.2,0
56,48.2,375.0,6.35,73.0,1014,18.8,138,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,7.7,0
55,48.7,371.0,7.07,69.0,265,19.3,133,65.0,3.84,69.0,2.6,3868.578883,2175942.0,9.5,8.1,0
54,49.1,369.0,7.01,61.0,2807,19.8,127,63.0,4.37,9.0,2.5,3347.84485,22549547.0,9.3,8.5,0
52,51.0,361.0,8.06,72.0,1449,21.0,115,73.0,3.38,71.0,2.5,4299.12889,24218565.0,8.9,9.4,0
51,56.0,358.0,8.24,75.0,4458,21.5,110,75.0,3.3,75.0,2.6,4598.249988,259615.0,8.8,10.3,0
50,51.1,355.0,8.1,77.0,8523,22.1,105,67.0,4.26,77.0,2.3,484.616884,2599834.0,8.6,11.4,0
49,51.7,348.0,8.33,64.0,10000,22.7,101,68.0,3.31,64.0,2.0,479.31224,2692466.0,8.5,11.4,0
48,52.4,335.0,8.33,64.0,118,23.3,98,9.0,3.31,64.0,1.9,3695.793748,2785935.0,8.3,11.4,0
79,73.6,156.0,7.27,91.0,0,38.2,0,96.0,4.13,95.0,0.1,9875.161736,1396923.0,3.7,0.0,0
78,73.8,154.0,7.51,96.0,0,38.9,0,99.0,4.48,97.0,0.1,9358.154162,1396923.0,3.6,0.0,0
77,74.0,153.0,7.21,99.0,0,39.5,0,93.0,4.41,98.0,0.1,9386.716452,1396923.0,3.6,0.0,0
74,74.6,147.0,8.15,99.0,0,41.4,0,98.0,4.41,99.0,0.1,11371.93895,1396923.0,3.5,0.0,0
73,74.8,145.0,8.93,99.0,0,42.0,0,99.0,4.34,99.0,0.1,12724.39377,1396923.0,3.4,14.7,0
72,75.0,144.0,8.64,97.0,0,42.6,0,98.0,4.27,99.0,0.1,14252.29452,1396923.0,3.4,14.5,0
71,75.2,142.0,8.27,98.0,0,43.2,0,99.0,4.69,99.0,0.1,1473.31923,1396923.0,3.4,14.4,0
70,75.4,14.0,7.82,98.0,0,43.8,0,98.0,4.86,99.0,0.1,1312.46692,1396923.0,3.4,14.2,0
69,75.6,138.0,7.84,98.0,0,44.4,0,99.0,5.63,98.0,0.1,12126.87614,1396923.0,3.3,14.1,0
68,75.7,136.0,7.84,99.0,0,45.1,0,99.0,5.65,99.0,0.1,11929.34991,1396923.0,3.3,14.1,0
67,75.9,134.0,8.18,98.0,0,45.7,0,97.0,5.39,98.0,0.2,12565.44197,1396923.0,3.3,13.8,0
66,76.1,133.0,8.58,99.0,0,46.4,0,98.0,5.33,99.0,0.2,12224.86416,1396923.0,3.3,13.9,0
65,76.2,131.0,8.56,99.0,0,47.0,0,96.0,5.54,99.0,0.2,12888.29667,1396923.0,3.3,13.9,0
64,76.4,13.0,8.56,99.0,0,47.7,0,86.0,5.54,99.0,0.2,13566.9541,1396923.0,3.3,13.9,0
95,74.1,137.0,7.68,91.0,6,54.0,14,88.0,9.21,83.0,0.1,7669.273916,3757452.0,1.2,15.0,0
94,74.0,138.0,7.76,91.0,0,54.6,13,85.0,9.38,83.0,0.1,717.694674,3747159.0,1.2,15.6,0
93,74.1,138.0,7.81,66.0,0,55.1,13,94.0,8.31,93.0,0.1,2579.193168,3788937.0,1.2,16.3,0
92,74.1,137.0,7.62,73.0,0,55.7,13,95.0,8.22,96.0,0.1,333.4376,3839379.0,1.2,16.4,0
91,74.7,13.0,7.63,81.0,0,56.3,12,91.0,6.84,98.0,0.1,4251.574348,38728696.0,1.1,16.3,0
90,74.9,127.0,7.53,88.0,0,56.9,12,95.0,6.85,98.0,0.1,576.883829,39145488.0,1.1,16.3,0
89,75.2,127.0,7.75,84.0,0,57.5,12,92.0,6.68,91.0,0.1,5878.76127,3955889.0,1.1,16.1,0
88,74.8,129.0,8.16,85.0,0,58.0,12,92.0,6.49,91.0,0.1,7193.61764,3997224.0,1.1,16.3,0
87,75.4,126.0,8.41,9.0,0,58.6,11,94.0,6.66,93.0,0.1,8953.359275,4382389.0,1.0,16.3,0
86,75.6,126.0,8.33,94.0,3,59.2,11,97.0,7.63,94.0,0.1,8161.36966,479947.0,1.0,16.5,0
85,75.5,121.0,8.15,94.0,17,59.8,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,1.0,16.8,0
84,75.7,12.0,8.11,91.0,3,6.4,10,93.0,5.89,91.0,0.1,12726.9836,41656879.0,1.0,17.1,0
83,75.9,12.0,8.35,91.0,2,61.0,10,99.0,5.2,91.0,0.1,12969.7712,4296739.0,1.0,17.2,0
82,76.0,119.0,8.28,94.0,0,61.6,10,99.0,4.99,94.0,0.1,12976.63642,42539925.0,1.0,17.3,0
81,76.2,118.0,7.93,94.0,1,62.2,9,92.0,4.79,94.0,0.1,12245.25645,42981515.0,1.0,17.3,0
80,76.3,116.0,7.93,94.0,0,62.8,9,93.0,4.79,94.0,0.1,13467.1236,43417765.0,1.0,17.3,0
111,72.0,142.0,2.9,55.0,15,47.1,1,96.0,6.25,93.0,0.1,622.7427477,369588.0,2.1,11.2,0
110,72.6,141.0,2.86,69.0,69,47.4,1,97.0,5.94,94.0,0.1,694.435119,35655.0,2.1,11.1,0
109,72.6,134.0,2.86,91.0,40,47.8,1,96.0,5.4,94.0,0.1,783.261699,333897.0,2.1,10.8,0
108,72.7,134.0,3.03,93.0,4,48.1,1,96.0,5.56,94.0,0.1,93.1661567,31786.0,2.0,10.8,0
107,73.0,132.0,3.81,91.0,1783,48.4,1,93.0,5.5,91.0,0.1,1191.96192,3612.0,2.0,10.9,0
106,73.0,137.0,4.25,91.0,2281,48.8,1,92.0,5.25,9.0,0.1,1643.758397,2981259.0,2.0,10.9,0
105,72.9,141.0,4.01,78.0,137,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,11.2,0
104,73.5,132.0,3.99,85.0,1,49.7,1,9.0,4.31,88.0,0.1,3138.8873,293356.0,2.0,11.7,0
103,73.2,14.0,3.96,89.0,0,5.1,1,91.0,3.8,89.0,0.1,41.26997,29822.0,2.0,12.3,0
102,73.3,137.0,3.96,93.0,0,5.7,1,94.0,4.55,93.0,0.1,2993.832531,2888584.0,2.0,11.9,0
101,73.5,132.0,4.23,94.0,2,51.2,1,96.0,4.56,94.0,0.1,3218.381655,2877311.0,2.0,12.3,0
100,73.9,128.0,4.09,95.0,0,51.9,1,96.0,3.71,95.0,0.1,3526.978143,2875581.0,2.0,12.7,0
99,74.4,121.0,3.89,95.0,0,52.6,1,96.0,4.48,95.0,0.1,3684.8481,2881922.0,2.0,12.7,0
98,74.4,123.0,3.79,95.0,10,53.3,1,96.0,4.55,95.0,0.1,3843.591213,289359.0,2.1,12.7,0
97,74.6,12.0,3.91,93.0,13,54.1,1,95.0,4.48,93.0,0.1,3994.712355,29622.0,2.1,12.7,0
96,74.8,118.0,3.91,94.0,33,54.9,1,96.0,4.48,94.0,0.1,369.654776,291695.0,2.1,12.7,0
127,79.5,78.0,10.17,95.0,108,58.2,2,9.0,8.8,9.0,0.1,2169.921,19153.0,0.7,20.4,1
126,79.9,75.0,9.53,94.0,141,59.0,2,91.0,8.18,92.0,0.1,19517.84168,19413.0,0.7,20.5,1
125,79.9,73.0,9.84,95.0,32,59.6,2,92.0,8.39,92.0,0.1,281.81763,196514.0,0.7,20.1,1
124,83.0,71.0,9.97,95.0,91,6.3,1,92.0,8.32,93.0,0.1,23465.38559,198954.0,0.7,20.6,1
123,86.0,69.0,9.84,95.0,70,6.9,1,92.0,8.57,92.0,0.1,3472.37977,21274.0,0.7,20.7,1
122,81.0,67.0,10.3,95.0,10,61.5,2,92.0,8.45,92.0,0.1,3416.71483,23948.0,0.7,20.3,1
121,81.2,66.0,10.31,95.0,0,62.0,2,92.0,8.49,92.0,0.1,36118.28381,26979.0,0.7,20.3,1
120,81.3,66.0,10.56,94.0,11,62.5,2,92.0,8.53,92.0,0.1,4991.98289,28276.0,0.7,19.0,1
119,81.3,66.0,10.76,94.0,65,62.9,1,92.0,8.78,92.0,0.1,49664.6854,212492.0,0.7,19.1,1
118,81.7,66.0,10.62,94.0,104,63.4,1,92.0,9.5,92.0,0.1,42742.99898,216917.0,0.7,19.1,1
117,81.9,64.0,10.52,92.0,70,63.9,1,92.0,9.2,92.0,0.1,51874.848,223175.0,0.7,19.5,1
116,82.0,63.0,10.3,92.0,190,64.4,1,92.0,9.2,92.0,0.1,62245.129,223424.0,0.6,19.8,1
115,82.3,61.0,10.03,91.0,199,65.0,1,92.0,9.36,92.0,0.1,67677.63477,22728254.0,0.6,20.1,1
114,82.5,61.0,9.87,91.0,158,65.5,1,91.0,9.36,91.0,0.1,67792.3386,23117353.0,0.6,20.3,1
113,82.7,6.0,9.71,91.0,340,66.1,1,92.0,9.42,92.0,0.1,62214.6912,2346694.0,0.6,20.4,1
112,82.8,59.0,9.71,93.0,74,66.6,1,93.0,9.42,93.0,0.1,56554.3876,23789338.0,0.6,20.4,1
143,78.1,96.0,13.2,33.0,0,5.1,0,71.0,1.6,81.0,0.1,24517.26745,811566.0,1.7,15.4,1
142,78.6,92.0,12.4,44.0,0,5.6,0,83.0,1.12,84.0,0.1,24489.73553,842293.0,1.7,15.5,1
141,78.7,9.0,12.5,81.0,0,51.2,0,82.0,1.27,83.0,0.1,26351.37568,881957.0,1.7,16.1,1
140,78.8,88.0,12.2,83.0,90,51.7,0,84.0,1.48,84.0,0.1,3212.9355,8121423.0,1.7,14.7,1
139,79.3,86.0,12.1,83.0,15,52.2,0,83.0,1.56,83.0,0.1,36693.4262,8171966.0,1.7,14.7,1
138,79.4,85.0,12.4,86.0,9,52.7,0,86.0,1.53,86.0,0.1,38242.4252,8227829.0,1.7,14.9,1
137,79.8,81.0,12.4,83.0,23,53.2,0,83.0,1.35,83.0,0.1,443.99361,8268641.0,1.7,15.0,1
136,81.0,8.0,12.5,85.0,20,53.7,0,85.0,1.4,85.0,0.1,46586.6525,8295487.0,1.7,15.2,1
135,84.0,76.0,12.0,83.0,448,54.2,0,83.0,1.6,83.0,0.1,51386.37665,8321496.0,1.7,15.1,1
134,82.0,77.0,11.3,83.0,49,54.7,0,83.0,11.19,83.0,0.1,47654.18721,8343323.0,1.7,15.3,1
133,84.0,75.0,12.1,86.0,52,55.2,0,86.0,11.17,86.0,0.1,46657.629,836344.0,1.7,15.4,1
132,88.0,73.0,12.04,89.0,68,55.7,0,89.0,1.94,89.0,0.1,51126.74139,8391643.0,1.7,15.7,1
131,88.0,7.0,12.26,92.0,36,56.1,0,92.0,11.17,92.0,0.1,48333.57273,8429991.0,1.8,15.7,1
130,81.1,68.0,11.82,95.0,0,56.6,0,95.0,11.14,95.0,0.1,554.71532,8479375.0,1.8,15.7,1
129,81.4,66.0,12.32,98.0,117,57.1,0,98.0,11.21,98.0,0.1,51322.63997,8541575.0,1.8,15.9,1
128,81.5,65.0,12.32,93.0,309,57.6,0,93.0,11.21,93.0,0.1,43665.947,8633169.0,1.9,15.9,1
159,66.6,16.0,0.65,91.0,210,42.1,11,75.0,4.67,76.0,0.1,655.974326,8486.0,3.2,10.1,0
158,67.5,151.0,0.51,91.0,574,42.6,10,77.0,4.48,77.0,0.1,73.6838434,81112.0,3.1,10.4,0
157,67.8,146.0,0.55,9.0,4353,43.1,9,9.0,4.47,76.0,0.1,763.73858,817195.0,3.1,10.6,0
156,67.8,154.0,0.55,51.0,1978,43.6,8,79.0,6.56,77.0,0.1,883.6439965,82341.0,3.0,10.8,0
155,68.4,154.0,0.62,9.0,827,44.2,8,78.0,7.92,77.0,0.1,145.2163,8365.0,3.0,11.0,0
154,68.4,162.0,0.73,49.0,1238,44.7,7,79.0,7.86,75.0,0.1,1578.4239,839185.0,2.9,11.2,0
153,69.2,154.0,0.85,52.0,222,45.3,7,9.0,6.17,78.0,0.1,2473.85776,848455.0,2.9,10.7,0
152,73.0,14.0,1.02,62.0,0,45.9,7,81.0,5.1,79.0,0.1,3851.437869,85813.0,2.8,11.6,0
151,73.0,141.0,1.18,68.0,5,46.6,6,85.0,4.37,81.0,0.1,5574.6382,87634.0,2.8,11.6,0
150,78.0,132.0,2.1,74.0,0,47.3,6,84.0,5.85,81.0,0.1,495.294791,8947243.0,2.8,11.6,0
149,71.1,13.0,1.98,9.0,0,48.0,6,85.0,5.33,81.0,0.1,5842.85784,954332.0,2.8,11.7,0
148,71.6,125.0,1.98,84.0,0,48.8,6,91.0,5.1,87.0,0.1,7189.691229,917382.0,2.8,11.7,0
147,71.9,123.0,0.01,88.0,0,49.7,6,92.0,5.37,89.0,0.1,7496.335728,9295784.0,2.8,11.8,0
146,72.2,121.0,2.14,93.0,164,5.6,6,96.0,5.54,93.0,0.1,7875.756953,941681.0,2.8,11.9,0
145,72.5,119.0,0.01,94.0,0,51.5,6,97.0,6.4,94.0,0.1,7891.299776,953579.0,2.8,12.2,0
144,72.7,118.0,0.01,96.0,0,52.5,6,98.0,6.4,96.0,0.1,55.31382,9649341.0,2.8,12.7,0
175,72.6,192.0,12.15,91.0,0,54.4,0,91.0,5.21,99.0,0.1,1228.829749,1396923.0,2.7,12.0,0
174,72.9,189.0,11.64,21.0,0,55.2,0,98.0,5.15,99.0,0.2,1228.829749,1396923.0,2.7,12.1,0
173,73.1,19.0,10.85,89.0,0,56.0,0,93.0,5.26,94.0,0.1,1228.829749,1396923.0,2.6,12.1,0
172,73.2,189.0,10.68,88.0,0,56.7,0,93.0,5.62,92.0,0.1,1228.829749,1396923.0,2.6,12.2,0
171,73.8,174.0,10.1,93.0,0,57.4,0,92.0,6.2,93.0,0.1,1228.829749,1396923.0,2.6,12.3,0
170,74.1,172.0,10.49,93.0,0,58.1,0,93.0,5.95,93.0,0.1,1228.829749,1396923.0,2.6,12.4,0
169,74.2,171.0,11.07,96.0,0,58.7,0,94.0,6.93,95.0,0.1,1228.829749,1396923.0,2.5,12.4,0
168,74.4,167.0,10.75,93.0,0,59.4,0,95.0,7.8,95.0,0.1,1228.829749,1396923.0,2.5,12.5,0
167,74.5,167.0,10.15,9.0,0,6.1,0,93.0,7.3,93.0,0.1,1228.829749,1396923.0,2.5,12.6,0
166,74.6,168.0,9.29,95.0,0,6.7,0,97.0,7.43,96.0,0.1,1228.829749,1396923.0,2.5,12.6,0
165,75.0,161.0,9.19,98.0,0,61.3,0,97.0,7.44,99.0,0.2,1228.829749,1396923.0,2.5,12.6,0
164,75.0,162.0,9.34,95.0,0,62.0,0,97.0,7.63,98.0,0.1,1228.829749,1396923.0,2.5,12.6,0
163,74.9,167.0,9.5,96.0,0,62.6,0,99.0,7.43,98.0,0.2,1228.829749,1396923.0,2.5,12.6,0
162,74.8,172.0,9.42,97.0,0,63.2,0,97.0,7.5,97.0,0.1,1228.829749,1396923.0,2.5,12.6,0
161,75.4,16.0,9.45,96.0,0,63.8,0,96.0,7.74,96.0,0.1,1228.829749,1396923.0,2.5,12.6,0
160,76.1,147.0,9.45,95.0,0,64.5,0,95.0,7.74,95.0,0.1,1228.829749,1396923.0,2.5,12.6,0
191,74.5,92.0,2.15,97.0,6,54.5,0,97.0,3.51,97.0,0.1,13636.34668,1396923.0,6.2,13.2,0
190,74.7,9.0,1.95,99.0,5,54.8,0,99.0,3.8,99.0,0.1,12868.211,1396923.0,6.2,13.3,0
189,74.9,87.0,1.99,98.0,8,55.0,0,98.0,3.89,98.0,0.1,1312.33457,1396923.0,6.2,13.5,0
188,75.0,85.0,2.16,98.0,12,55.2,0,97.0,3.74,97.0,0.1,14221.99259,1396923.0,6.1,13.7,0
187,75.2,83.0,2.16,98.0,11,55.6,0,98.0,3.37,98.0,0.1,15846.47641,1396923.0,6.1,13.9,0
186,75.3,81.0,2.05,98.0,4,56.1,0,98.0,3.16,98.0,0.1,17959.17854,1396923.0,6.1,14.0,0
185,75.5,79.0,2.1,98.0,3,56.8,0,98.0,3.8,98.0,0.1,1937.99549,1396923.0,6.1,14.2,0
184,75.6,77.0,2.0,97.0,7,57.6,0,97.0,3.8,97.0,0.1,2977.1153,1396923.0,6.1,14.4,0
183,75.8,76.0,2.0,97.0,2,58.5,0,97.0,3.17,97.0,0.1,2367.56535,1396923.0,6.0,14.4,0
182,76.0,74.0,1.95,98.0,3,59.3,0,97.0,3.79,98.0,0.1,19356.67236,1396923.0,6.0,14.4,0
181,76.1,73.0,1.93,99.0,0,6.1,0,99.0,3.64,99.0,0.1,2722.1389,1396923.0,6.0,14.4,0
180,76.1,76.0,1.66,99.0,0,6.8,0,99.0,3.4,99.0,0.1,2281.1242,1396923.0,6.1,14.4,0
179,76.5,71.0,1.7,99.0,0,61.5,0,99.0,4.37,99.0,0.1,23649.36661,1396923.0,6.1,14.5,0
178,76.7,7.0,1.65,99.0,0,62.2,0,99.0,4.69,99.0,0.1,251.18329,1396923.0,6.1,14.5,0
177,76.8,7.0,1.57,98.0,46,62.9,0,98.0,4.98,98.0,0.1,24983.3792,1396923.0,6.1,14.5,0
176,76.9,69.0,1.57,98.0,0,63.6,0,98.0,4.98,98.0,0.1,22688.87824,1396923.0,6.2,14.5,0
205,66.3,164.0,0.01,91.0,3484,11.2,280,83.0,2.59,83.0,0.1,4.6135745,1366667.0,2.5,7.7,0
204,66.8,161.0,0.01,9.0,4067,11.6,264,9.0,2.51,87.0,0.1,432.7388972,139191.0,2.3,7.9,0
203,67.3,158.0,0.01,11.0,9743,12.0,247,88.0,2.62,99.0,0.1,46.7579167,14137489.0,2.1,8.1,0
202,67.8,155.0,0.01,45.0,10000,12.5,231,94.0,2.68,93.0,0.1,484.155471,14343111.0,19.9,8.2,0
201,68.2,152.0,0.01,86.0,6192,13.0,215,95.0,2.8,94.0,0.1,494.51466,1453684.0,19.7,8.4,0
200,68.6,151.0,0.01,95.0,2924,13.5,201,96.0,2.8,94.0,0.1,541.651484,147139191.0,19.5,8.6,0
199,69.1,147.0,0.01,96.0,2660,14.0,186,96.0,2.85,96.0,0.1,615.7775411,14885814.0,19.3,8.6,0
198,69.5,144.0,0.01,97.0,718,14.6,173,97.0,2.91,97.0,0.1,681.125368,1545478.0,19.1,8.4,0
197,69.9,142.0,0.01,94.0,788,15.2,161,94.0,3.6,94.0,0.1,757.6717572,15214912.0,18.9,8.9,0
196,73.0,14.0,0.01,96.0,5625,15.8,150,96.0,3.16,96.0,0.1,835.789341,153911916.0,18.7,9.4,0
195,77.0,137.0,0.01,94.0,1986,16.4,139,94.0,3.8,94.0,0.1,856.342857,15572753.0,18.5,9.9,0
194,71.0,135.0,0.01,96.0,237,17.0,130,96.0,2.88,96.0,0.1,951.8894535,157571292.0,18.3,10.0,0
193,71.4,132.0,0.01,97.0,289,17.7,121,97.0,2.82,97.0,0.1,184.56543,15945279.0,18.1,10.0,0
192,71.8,129.0,0.01,97.0,240,18.3,113,97.0,2.82,97.0,0.1,121.15812,1612886.0,17.9,10.2,0
223,73.3,127.0,7.43,91.0,0,43.0,0,86.0,5.16,93.0,0.9,11568.1111,1396923.0,4.3,14.0,0
222,73.4,125.0,7.38,18.0,0,43.8,0,93.0,5.47,84.0,0.7,11513.87189,1396923.0,4.2,14.0,0
221,73.5,123.0,7.59,66.0,0,44.6,0,86.0,5.76,87.0,0.8,11675.39395,1396923.0,4.2,14.0,0
220,73.7,121.0,7.65,91.0,0,45.4,0,9.0,5.82,89.0,0.4,1228.5447,1396923.0,4.1,14.2,0
219,73.8,119.0,7.68,93.0,0,46.2,0,93.0,5.71,93.0,0.2,12868.8639,1396923.0,4.1,14.4,0
218,73.9,117.0,8.01,92.0,0,46.9,0,91.0,5.38,92.0,0.1,14223.86576,1396923.0,4.0,14.6,0
217,74.1,115.0,8.39,84.0,0,47.7,0,85.0,5.27,84.0,0.1,15646.5591,1396923.0,4.0,14.8,0
216,74.2,113.0,8.47,93.0,0,48.4,0,93.0,5.64,93.0,0.1,16462.48556,1396923.0,3.9,15.0,0
215,74.4,111.0,8.95,85.0,0,49.2,0,85.0,6.1,85.0,0.1,1657.3228,1396923.0,3.9,15.3,0
214,74.6,19.0,8.46,93.0,0,49.9,0,93.0,6.21,93.0,0.1,16523.32388,1396923.0,3.8,15.5,0
213,74.7,16.0,8.41,86.0,0,5.7,0,9.0,6.17,86.0,0.1,1595.91232,1396923.0,3.8,15.8,0
212,74.9,14.0,8.51,91.0,0,51.4,0,91.0,6.67,91.0,0.1,15534.1574,1396923.0,3.8,15.5,0
211,75.1,12.0,8.61,87.0,0,52.2,0,88.0,7.43,87.0,0.1,15384.8749,1396923.0,3.8,15.3,0
